file,speaker,film,gender,language,emo
f_ans009ben_16k.wav,tuesday weld,falling down,f,en,fe
f_ans010aen_16k.wav,tuesday weld,falling down,f,en,fe
f_ans032aen_16k.wav,renée zellweger,cinderella man,f,en,fe
f_ans040aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans041aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans041ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans042aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans042ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans043aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans044aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans044ben_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans045aen_16k.wav,rosemarie dewitt,cinderella man,f,en,fe
f_ans101ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans102ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans103ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans104ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans105ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans106ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans108ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans109ait_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans109bit_16k.wav,laura boccanera,fligthplan,f,it,fe
f_ans901aes_16k.wav,conchi lopez,the others,f,es,fe
f_ans901bes_16k.wav,conchi lopez,the others,f,es,fe
f_ans901ces_16k.wav,conchi lopez,the others,f,es,fe
f_ans902aes_16k.wav,conchi lopez,the others,f,es,fe
f_ans902bes_16k.wav,conchi lopez,the others,f,es,fe
f_ans902ces_16k.wav,conchi lopez,the others,f,es,fe
f_ans902des_16k.wav,conchi lopez,the others,f,es,fe
f_ans905aes_16k.wav,conchi lopez,the others,f,es,fe
f_dis008ait_16k.wav,valentina carnelutti,my life without me,f,it,co
f_dis009ait_16k.wav,valentina carnelutti,my life without me,f,it,co
f_dis024aen_16k.wav,embeth davidtz,bicentennial man,f,en,co
f_dis025aen_16k.wav,embeth davidtz,bicentennial man,f,en,co
f_dis026aen_16k.wav,embeth davidtz,bicentennial man,f,en,co
f_dis027aen_16k.wav,bahar soomekh,crash,f,en,co
f_dis027aes_16k.wav,mercedes diemand-hartz,crash,f,es,co
f_dis027ben_16k.wav,bahar soomekh,crash,f,en,co
f_dis027bes_16k.wav,mercedes diemand-hartz,crash,f,es,co
f_dis028aen_16k.wav,bahar soomekh,crash,f,en,co
f_dis028aes_16k.wav,mercedes diemand-hartz,crash,f,es,co
f_dis029aes_16k.wav,ana pallejà,crash,f,es,co
f_dis037aen_16k.wav,vinessa shaw,side effects,f,en,co
f_dis037ait_16k.wav,francesca fiorentini,side effects,f,it,co
f_dis038aen_16k.wav,vinessa shaw,side effects,f,en,co
f_dis038ait_16k.wav,francesca fiorentini,side effects,f,it,co
f_dis039aen_16k.wav,vinessa shaw,side effects,f,en,co
f_dis039ait_16k.wav,francesca fiorentini,side effects,f,it,co
f_dis042aen_16k.wav,helena bonham carter,big fish,f,en,co
f_dis043aen_16k.wav,helena bonham carter,big fish,f,en,co
f_dis901aes_16k.wav,conchi lopez,the others,f,es,co
f_dis902aes_16k.wav,conchi lopez,the others,f,es,co
f_gio002aes_16k.wav,pepa castro,antichrist,f,es,ha
f_gio002ait_16k.wav,valentina carnelutti,antichrist,f,it,ha
f_gio014ait_16k.wav,connie bismuto,the devil wears prada,f,it,ha
f_gio019ait_16k.wav,connie bismuto,the devil wears prada,f,it,ha
f_gio030aen_16k.wav,embeth davidtz,bicentennial man,f,en,ha
f_gio034aen_16k.wav,embeth davidtz,bicentennial man,f,en,ha
f_gio040aen_16k.wav,rooney mara,side effects,f,en,ha
f_gio040aes_16k.wav,isabel valls,side effects,f,es,ha
f_gio047ait_16k.wav,francesca fiorentini,finding neverland,f,it,ha
f_gio049aen_16k.wav,julia roberts,notting hill,f,en,ha
f_gio049ben_16k.wav,julia roberts,notting hill,f,en,ha
f_gio101aen_16k.wav,keira knightley,atonement,f,en,ha
f_gio120ait_16k.wav,rosella izzo,falling down,f,it,ha
f_gio123aes_16k.wav,maria jesus lleonart,falling down,f,es,ha
f_gio125aen_16k.wav,claire forlani,meet joe black,f,en,ha
f_gio126aen_16k.wav,claire forlani,meet joe black,f,en,ha
f_gio144aen_16k.wav,marcia gay harden,meet joe black,f,en,ha
f_gio189ait_16k.wav,silvia tognoloni,american history x,f,it,ha
f_gio200ait_16k.wav,laura boccanera,american history x,f,it,ha
